Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
India,IND,356,2025,113100.74,117849.38,123236.04,126709.18,129802.3,125442.77,119778.23,113171.27,102039.92,88399.55,76959.69,65130.78,54262.57,42982.19,30844.61,17977.75,9614.0,4635.1,1566.87,324.57,37.99,1463865.52,969089.92,66.2,480895.35,32.85,113100.74,7.73,107983.09,7.38
China,CHN,156,2025,47520.14,80319.82,90342.08,84661.09,78825.73,82804.58,98596.4,121528.6,102496.76,92360.65,115079.53,116664.5,93736.0,70051.76,65135.12,39051.59,21380.08,10962.98,3887.29,642.81,48.57,1416096.09,684598.45,48.34,302843.14,21.39,47520.14,3.36,211160.2,14.91
United States of America,USA,840,2025,18574.53,19744.72,21061.58,22829.0,23061.81,22641.3,23968.1,24109.71,23213.68,21456.29,20506.11,20717.04,21537.54,20059.99,16520.47,12696.47,7817.14,4246.41,1909.37,530.9,73.63,347275.81,175990.75,50.68,82209.83,23.67,18574.53,5.35,63854.38,18.39
Indonesia,IDN,360,2025,22097.07,22828.96,24353.52,23553.64,22033.79,22039.81,21228.26,20713.74,20843.68,19394.51,17488.36,15280.69,12313.92,9081.52,5882.06,3493.97,2007.12,844.55,212.25,28.14,1.68,285721.24,178848.78,62.6,92833.19,32.49,22097.07,7.73,21551.29,7.54
Pakistan,PAK,586,2025,32134.1,30419.76,29948.17,27329.49,23603.54,20687.49,18010.4,15645.92,13245.16,10615.1,8806.09,7423.71,6218.3,4729.64,3086.28,1879.84,1000.35,351.43,76.39,8.11,0.3,255219.55,197778.88,77.49,119831.52,46.95,32134.1,12.59,11132.33,4.36
Nigeria,NGA,566,2025,34221.13,31747.79,30276.68,26858.43,22798.37,18257.17,15162.39,12880.66,11276.78,9472.83,7339.7,5625.63,4319.22,3163.58,2099.86,1215.09,582.67,189.34,36.52,3.73,0.2,237527.78,192202.62,80.92,123104.03,51.83,34221.13,14.41,7291.0,3.07
Brazil,BRA,76,2025,12880.0,13992.56,14384.58,14693.84,15466.28,16326.07,16012.01,16507.61,16634.89,15189.01,13356.31,11989.34,10948.32,8928.23,6696.6,4438.14,2581.04,1259.53,430.35,88.81,8.9,212812.4,120262.95,56.51,55950.97,26.29,12880.0,6.05,24431.59,11.48
Bangladesh,BGD,50,2025,16831.4,15775.08,15963.47,16947.6,16305.5,15136.34,13612.55,12424.1,11963.0,9240.18,7834.69,6566.38,5371.07,4301.86,3283.5,2115.7,1254.3,557.03,172.34,29.02,1.8,175686.9,122996.04,70.01,65517.55,37.29,16831.4,9.58,11715.55,6.67
Russian Federation,RUS,643,2025,6644.2,8451.08,9423.86,8171.49,7457.91,7018.13,9077.37,12523.49,11702.34,10596.15,9562.85,8327.59,9421.23,9084.91,7103.54,4624.88,1962.79,2021.32,607.98,194.08,20.23,143997.39,68767.53,47.76,32690.62,22.7,6644.2,4.61,25619.71,17.79
Ethiopia,ETH,231,2025,19653.56,17491.8,15390.34,14814.86,13612.86,11656.92,9753.1,7718.01,5887.61,4976.67,4039.2,3374.18,2638.16,1845.99,1223.12,801.75,407.69,148.16,33.78,4.08,0.23,135472.05,110091.44,81.27,67350.55,49.72,19653.56,14.51,4464.8,3.3
Mexico,MEX,484,2025,10122.41,10471.46,11193.54,11146.5,11100.69,10623.24,10396.95,9651.33,8773.93,8029.53,7425.2,6442.69,5325.66,4116.36,2973.26,2018.83,1233.08,626.7,221.43,48.33,5.78,131946.9,84706.12,64.2,42933.9,32.54,10122.41,7.67,11243.77,8.52
Japan,JPN,392,2025,3919.96,4654.82,5260.07,5658.2,6127.9,6109.95,6047.38,6488.52,7290.56,8466.78,9922.83,8525.29,7707.43,7261.44,7833.65,8693.0,6025.02,4139.01,2185.57,662.77,123.33,123103.48,44266.81,35.96,19493.06,15.83,3919.96,3.18,36923.78,29.99
Egypt,EGY,818,2025,11831.58,12641.66,12878.64,11034.61,9891.21,9126.34,8649.53,8520.79,7564.4,6416.76,5356.88,4511.93,3702.36,2783.68,1853.65,1029.98,405.97,133.78,29.24,2.87,0.13,118365.99,84574.36,71.45,48386.49,40.88,11831.58,10.0,6239.3,5.27
